SCENARIO;PERIODE;ENTITY;PROGRAMME;AN_ETUDE;MODALITE;EXERCICE;VOL_LEAD;VOL_CAND;VOL_ADMIS;VOL_NEW;VOL_REINS;VOL_EFF;VOL_EFF_INF;VOL_CLASS;REV_STUD;REV_FRAIS_INS
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B1;INIT;2026;646,000000000;181,000000000;130,000000000;78,000000000;0,000000000;78,000000000;0,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;76,000000000;76,000000000;78,000000000;3,000000000;7840,000000000;90,000000000
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;74,000000000;74,000000000;76,000000000;3,000000000;7840,000000000;90,000000000
2027BUD_V1;12;MBWAY_PAR;MAS_MGT;M1;ALT;2026;1330,000000000;266,000000000;186,000000000;78,000000000;0,000000000;78,000000000;0,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;MBWAY_PAR;MAS_MGT;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;76,000000000;76,000000000;78,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;MBWAY_LYO;BAC_MGT;B1;INIT;2026;546,000000000;153,000000000;110,000000000;66,000000000;0,000000000;66,000000000;0,000000000;3,000000000;7875,000000000;90,000000000
2027BUD_V1;12;MBWAY_LYO;BAC_MGT;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;64,000000000;64,000000000;66,000000000;2,000000000;7350,000000000;90,000000000
2027BUD_V1;12;MBWAY_LYO;BAC_MGT;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;63,000000000;63,000000000;64,000000000;2,000000000;7350,000000000;90,000000000
2027BUD_V1;12;MBWAY_LYO;MAS_MGT;M1;ALT;2026;1120,000000000;224,000000000;157,000000000;66,000000000;0,000000000;66,000000000;0,000000000;3,000000000;7875,000000000;90,000000000
2027BUD_V1;12;MBWAY_LYO;MAS_MGT;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;65,000000000;65,000000000;66,000000000;3,000000000;7875,000000000;90,000000000
2027BUD_V1;12;MBWAY_NAN;BAC_MGT;B1;INIT;2026;496,000000000;139,000000000;100,000000000;60,000000000;0,000000000;60,000000000;0,000000000;2,000000000;7500,000000000;90,000000000
2027BUD_V1;12;MBWAY_NAN;BAC_MGT;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;58,000000000;58,000000000;60,000000000;2,000000000;7000,000000000;90,000000000
2027BUD_V1;12;MBWAY_NAN;BAC_MGT;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;57,000000000;57,000000000;58,000000000;2,000000000;7000,000000000;90,000000000
2027BUD_V1;12;MBWAY_NAN;MAS_MGT;M1;ALT;2026;1020,000000000;204,000000000;143,000000000;60,000000000;0,000000000;60,000000000;0,000000000;3,000000000;7500,000000000;90,000000000
2027BUD_V1;12;MBWAY_NAN;MAS_MGT;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;59,000000000;59,000000000;60,000000000;3,000000000;7500,000000000;90,000000000
2027BUD_V1;12;MBWAY_BOR;BAC_MGT;B1;INIT;2026;421,000000000;118,000000000;85,000000000;51,000000000;0,000000000;51,000000000;0,000000000;2,000000000;7275,000000000;90,000000000
2027BUD_V1;12;MBWAY_BOR;BAC_MGT;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;49,000000000;49,000000000;51,000000000;2,000000000;6790,000000000;90,000000000
2027BUD_V1;12;MBWAY_BOR;BAC_MGT;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;48,000000000;48,000000000;49,000000000;2,000000000;6790,000000000;90,000000000
2027BUD_V1;12;MBWAY_BOR;MAS_MGT;M1;ALT;2026;865,000000000;173,000000000;121,000000000;51,000000000;0,000000000;51,000000000;0,000000000;2,000000000;7275,000000000;90,000000000
2027BUD_V1;12;MBWAY_BOR;MAS_MGT;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;50,000000000;50,000000000;51,000000000;2,000000000;7275,000000000;90,000000000
2027BUD_V1;12;ISCOM_PAR;BAC_COM;B1;INIT;2026;596,000000000;167,000000000;120,000000000;72,000000000;0,000000000;72,000000000;0,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;ISCOM_PAR;BAC_COM;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;70,000000000;70,000000000;72,000000000;3,000000000;7840,000000000;90,000000000
2027BUD_V1;12;ISCOM_PAR;BAC_COM;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;69,000000000;69,000000000;70,000000000;3,000000000;7840,000000000;90,000000000
2027BUD_V1;12;ISCOM_PAR;MAS_COM;M1;ALT;2026;1220,000000000;244,000000000;171,000000000;72,000000000;0,000000000;72,000000000;0,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;ISCOM_PAR;MAS_COM;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;71,000000000;71,000000000;72,000000000;3,000000000;8400,000000000;90,000000000
2027BUD_V1;12;ISCOM_LIL;BAC_COM;B1;INIT;2026;411,000000000;115,000000000;83,000000000;50,000000000;0,000000000;50,000000000;0,000000000;2,000000000;7350,000000000;90,000000000
2027BUD_V1;12;ISCOM_LIL;BAC_COM;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;48,000000000;48,000000000;50,000000000;2,000000000;6860,000000000;90,000000000
2027BUD_V1;12;ISCOM_LIL;BAC_COM;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;47,000000000;47,000000000;48,000000000;2,000000000;6860,000000000;90,000000000
2027BUD_V1;12;ISCOM_LIL;MAS_COM;M1;ALT;2026;850,000000000;170,000000000;119,000000000;50,000000000;0,000000000;50,000000000;0,000000000;2,000000000;7350,000000000;90,000000000
2027BUD_V1;12;ISCOM_LIL;MAS_COM;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;49,000000000;49,000000000;50,000000000;2,000000000;7350,000000000;90,000000000
2027BUD_V1;12;ISCOM_TLS;BAC_COM;B1;INIT;2026;386,000000000;108,000000000;78,000000000;47,000000000;0,000000000;47,000000000;0,000000000;2,000000000;7200,000000000;90,000000000
2027BUD_V1;12;ISCOM_TLS;BAC_COM;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;46,000000000;46,000000000;47,000000000;2,000000000;6720,000000000;90,000000000
2027BUD_V1;12;ISCOM_TLS;BAC_COM;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;45,000000000;45,000000000;46,000000000;2,000000000;6720,000000000;90,000000000
2027BUD_V1;12;ISCOM_TLS;MAS_COM;M1;ALT;2026;800,000000000;160,000000000;112,000000000;47,000000000;0,000000000;47,000000000;0,000000000;2,000000000;7200,000000000;90,000000000
2027BUD_V1;12;ISCOM_TLS;MAS_COM;M2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;46,000000000;46,000000000;47,000000000;2,000000000;7200,000000000;90,000000000
2027BUD_V1;12;IPAC_NAN;BAC_CCE;B1;ALT;2026;850,000000000;170,000000000;119,000000000;50,000000000;0,000000000;50,000000000;0,000000000;2,000000000;7000,000000000;90,000000000
2027BUD_V1;12;IPAC_NAN;BAC_CCE;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;48,000000000;48,000000000;50,000000000;2,000000000;7000,000000000;90,000000000
2027BUD_V1;12;IPAC_NAN;BAC_CCE;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;47,000000000;47,000000000;48,000000000;2,000000000;7000,000000000;90,000000000
2027BUD_V1;12;IPAC_REN;BAC_CCE;B1;ALT;2026;680,000000000;136,000000000;95,000000000;40,000000000;0,000000000;40,000000000;0,000000000;2,000000000;6650,000000000;90,000000000
2027BUD_V1;12;IPAC_REN;BAC_CCE;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;39,000000000;39,000000000;40,000000000;2,000000000;6650,000000000;90,000000000
2027BUD_V1;12;IPAC_REN;BAC_CCE;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;38,000000000;38,000000000;39,000000000;2,000000000;6650,000000000;90,000000000
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B1;ALT;2026;680,000000000;136,000000000;95,000000000;40,000000000;0,000000000;40,000000000;0,000000000;2,000000000;6650,000000000;90,000000000
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B2;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;39,000000000;39,000000000;40,000000000;2,000000000;6650,000000000;90,000000000
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B3;ALT;2026;0,000000000;0,000000000;0,000000000;0,000000000;38,000000000;38,000000000;39,000000000;2,000000000;6650,000000000;90,000000000
