SCENARIO;PERIODE;ENTITY;PROGRAMME;AN_ETUDE;MODALITE;EXERCICE;VOL_LEAD;VOL_CAND;VOL_ADMIS;VOL_NEW;VOL_REINS;VOL_EFF;VOL_EFF_INF;VOL_CLASS;REV_STUD;REV_FRAIS_INS;VOL_LEAD_ORG;VOL_LEAD_PAY;DEPENSE_ACQ;DEPENSE_MARQUE;USERUPD;DATEUPD;PROVENIENZA
2027BUD_V1;12;IPAC_REN;BAC_CCE;B1;ALT;2025;642,000000000;128,000000000;90,000000000;38,000000000;0,000000000;38,000000000;0,000000000;2,000000000;6650,000000000;90,000000000;243,000000000;392,000000000;13575,000000000;18403,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;IPAC_REN;BAC_CCE;B2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;37,000000000;37,000000000;38,000000000;2,000000000;6650,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;IPAC_REN;BAC_CCE;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;36,000000000;36,000000000;37,000000000;2,000000000;6650,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B1;ALT;2025;642,000000000;128,000000000;90,000000000;38,000000000;0,000000000;38,000000000;0,000000000;2,000000000;6650,000000000;90,000000000;237,000000000;399,000000000;13798,000000000;17870,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;37,000000000;37,000000000;38,000000000;2,000000000;6650,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;IPAC_MTP;BAC_CCE;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;36,000000000;36,000000000;37,000000000;2,000000000;6650,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_LYO;BTS_GES;BTS1;ALT;2025;741,000000000;148,000000000;104,000000000;43,000000000;0,000000000;43,000000000;0,000000000;2,000000000;6300,000000000;90,000000000;355,000000000;399,000000000;16642,000000000;29976,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_LYO;BTS_GES;BTS2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;42,000000000;42,000000000;43,000000000;2,000000000;6300,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_LYO;BAC_RH;B1;ALT;2025;741,000000000;148,000000000;104,000000000;43,000000000;0,000000000;43,000000000;0,000000000;2,000000000;7350,000000000;90,000000000;355,000000000;399,000000000;16642,000000000;29977,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_LYO;BAC_RH;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;42,000000000;42,000000000;43,000000000;2,000000000;7350,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_BOR;BTS_GES;BTS1;ALT;2025;580,000000000;116,000000000;81,000000000;34,000000000;0,000000000;34,000000000;0,000000000;2,000000000;5820,000000000;90,000000000;314,000000000;276,000000000;9986,000000000;26636,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_BOR;BTS_GES;BTS2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;33,000000000;33,000000000;34,000000000;2,000000000;5820,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_BOR;BAC_RH;B1;ALT;2025;580,000000000;116,000000000;81,000000000;34,000000000;0,000000000;34,000000000;0,000000000;2,000000000;6790,000000000;90,000000000;313,000000000;276,000000000;9985,000000000;26637,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;PIGIER_BOR;BAC_RH;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;33,000000000;33,000000000;34,000000000;2,000000000;6790,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_PAR;BAC_TOU;B1;ALT;2025;755,000000000;151,000000000;106,000000000;44,000000000;0,000000000;44,000000000;0,000000000;2,000000000;7840,000000000;90,000000000;235,000000000;538,000000000;27491,000000000;20429,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_PAR;BAC_TOU;B2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;43,000000000;43,000000000;44,000000000;2,000000000;7840,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_PAR;BAC_TOU;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;42,000000000;42,000000000;43,000000000;2,000000000;7840,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_LYO;BAC_TOU;B1;ALT;2025;642,000000000;128,000000000;90,000000000;38,000000000;0,000000000;38,000000000;0,000000000;2,000000000;7350,000000000;90,000000000;247,000000000;410,000000000;17136,000000000;21550,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_LYO;BAC_TOU;B2;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;37,000000000;37,000000000;38,000000000;2,000000000;7350,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;TUNON_LYO;BAC_TOU;B3;ALT;2025;0,000000000;0,000000000;0,000000000;0,000000000;36,000000000;36,000000000;37,000000000;2,000000000;7350,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B1;INIT;2024;575,000000000;161,000000000;116,000000000;69,000000000;0,000000000;69,000000000;0,000000000;3,000000000;8400,000000000;90,000000000;203,000000000;379,000000000;18451,000000000;13653,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B2;ALT;2024;0,000000000;0,000000000;0,000000000;0,000000000;68,000000000;68,000000000;69,000000000;3,000000000;7840,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;MBWAY_PAR;BAC_MGT;B3;ALT;2024;0,000000000;0,000000000;0,000000000;0,000000000;66,000000000;66,000000000;68,000000000;3,000000000;7840,000000000;90,000000000;0,000000000;0,000000000;0,000000000;0,000000000;CCH;2026-08-19 21:32:50.55;QDL
2027BUD_V1;12;MBWAY_PAR;MAS_MGT;M1;ALT;2024;1184,000000000;237,000000000;166,000000000;69,000000000;0,000000000;69,000000000;0,000000000;3,000000000;8400,000000000;90,000000000;418,000000000;779,000000000;37987,000000000;28108,000000000;CCH;2026-08-19 21:32:50.55;QDL
